[MSI]
Submission Identifier	GSB-1004
Submission Version	1.2
Submission Reference Layer	false
Submission Release Date	2016/10/17
Submission Update Date	2016/10/17

[SCD]
Sample Name	Sample Accession	Group Name	Group Accession	Comment[origin cell line]	Comment[origin donor]
SAMEA103886190	SAMEA103886190	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886191	SAMEA103886191	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886192	SAMEA103886192	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886193	SAMEA103886193	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886194	SAMEA103886194	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886195	SAMEA103886195	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886196	SAMEA103886196	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886197	SAMEA103886197	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886198	SAMEA103886198	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886199	SAMEA103886199	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886200	SAMEA103886200	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886201	SAMEA103886201	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886202	SAMEA103886202	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886203	SAMEA103886203	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886204	SAMEA103886204	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886205	SAMEA103886205	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886206	SAMEA103886206	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886207	SAMEA103886207	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886208	SAMEA103886208	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886209	SAMEA103886209	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886210	SAMEA103886210	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886211	SAMEA103886211	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886212	SAMEA103886212	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886213	SAMEA103886213	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
SAMEA103886214	SAMEA103886214	UOXFi001-B batch M001	SAMEG318804	SAMEA4453900	SAMEA4453898
