[MSI]	
Submission Title	Rice Imputation Project	
Submission Identifier	
Submission Description	A test file that will auto-destroy in a week
Submission Version	1.2	
Submission Reference Layer	false	
Submission Release Date	2018/05/17	
Submission Update Date	2018/05/17	
Organization Name	Rice Diversity Lab	
Organization Address	160 Emerson Hall, Ithaca, NY 14850, USA	
Organization URI	
Organization Email	
Organization Role	
Term Source Name	NCBI Taxonomy	
Term Source URI	http://www.ncbi.nlm.nih.gov/taxonomy	
Term Source Version	

[SCD]	
Sample Name	Sample Description	Organism	Term Source REF	Term Source ID	Sex	Characteristic[serovar]	Characteristic[mating_type]	Characteristic[sub_strain]	Characteristic[strain]	Characteristic[Scientific Name]	Characteristic[cultivar]	Characteristic[variety]	Characteristic[serotype]	Characteristic[cell_line]	Characteristic[tissue_type]	Characteristic[tissue_lib]	Characteristic[cell_type]	Characteristic[germline]	Characteristic[sub_species]	Characteristic[geographic location (region and locality)]	Characteristic[isolate]	Characteristic[Common Name]	Characteristic[dev_stage]	Characteristic[ecotype]	
006dfe9b.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	KALAMKATI	KALAMKATI	NA	NA	leaf	NA	leaf	NA	aus	India	NA	rice	seedling	NA	
00794e86.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	IR 65907-116-1-B::C1	IR 65907-116-1-B::C1	NA	NA	leaf	NA	leaf	NA	trj	Philippines	NA	rice	seedling	NA	
00a48c38.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	DA 8	DA 8	NA	NA	leaf	NA	leaf	NA	aus	Bangladesh	NA	rice	seedling	NA	
00d9174a.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	63-83::IRGC 14725-1	63-83::IRGC 14725-1	NA	NA	leaf	NA	leaf	NA	trj	Cote d'Ivoire	NA	rice	seedling	NA	
00df5fd9.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	CT 6946-9-1-2-M-1P::IRGC 117329-1	CT 6946-9-1-2-M-1P::IRGC 117329-1	NA	NA	leaf	NA	leaf	NA	admixed	Colombia	NA	rice	seedling	NA	
00eb64ff.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	Khao Nok	Khao Nok	NA	NA	leaf	NA	leaf	NA	admixed-jap	India	NA	rice	seedling	NA	
012f5783.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	TSIPALA 89::GERVEX 8385-C1	TSIPALA 89::GERVEX 8385-C1	NA	NA	leaf	NA	leaf	NA	trj	Madagascar	NA	rice	seedling	NA	
012f96c4.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	MANGAVAVA FOTSILANSTSIKA 1177::GERVEX 5719-C1	MANGAVAVA FOTSILANSTSIKA 1177::GERVEX 5719-C1	NA	NA	leaf	NA	leaf	NA	trj	Madagascar	NA	rice	seedling	NA	
013ef6b2.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	NIONOKA::C1	NIONOKA::C1	NA	NA	leaf	NA	leaf	NA	ind2	Mali	NA	rice	seedling	NA	
014ab0f1.0	This sample was part of rice imputation study	Oryza sativa	NCBI Taxonomy	4530	NA	NA	inbreeding	NA	NA	Oryza sativa	DA16	DA16	NA	NA	leaf	NA	leaf	NA	admixed-ind	Unknown	NA	rice	seedling	NA	
